lsat,ugpa,zfygpa,race
41.0,3.3,0.21,white
31.0,3.2,-0.51,white
41.5,2.4,-0.18,white
38.0,3.3,1.91,white
34.0,3.1,0.64,white
33.0,3.3,-0.59,white
44.0,3.0,1.1,white
36.7,3.5,0.12,white
27.5,2.8,0.25,white
31.5,3.1,-0.65,white
31.0,3.5,-0.03,white
28.0,3.1,-0.44,white
40.0,3.9,2.22,white
45.0,3.5,-0.21,white
39.0,3.3,2.47,white
48.0,3.7,0.55,white
29.0,3.1,-0.46,white
42.0,3.9,1.48,white
40.0,3.0,0.94,white
28.5,2.4,-1.54,black
44.0,2.8,0.65,white
35.0,2.6,2.4,white
36.0,3.9,0.19,white
32.0,3.7,-0.77,white
35.0,3.0,-0.78,white
39.0,3.2,0.08,white
33.0,2.8,1.36,white
45.0,3.4,1.41,white
41.0,2.9,-0.81,white
40.0,3.9,1.53,white
34.0,4.0,-0.58,white
44.0,3.8,1.9,white
27.0,2.1,-1.61,black
22.0,2.7,-1.8,white
36.0,3.4,-0.47,white
45.0,3.4,0.55,white
28.0,3.7,-0.58,white
34.0,2.9,-0.25,white
20.0,2.7,-0.93,black
38.0,2.6,-0.44,white
46.0,3.6,0.4,white
37.0,3.5,-1.32,white
36.0,3.0,-0.16,white
34.0,2.3,-0.05,white
39.0,3.2,-0.52,white
42.0,2.6,-0.36,white
43.0,4.0,1.77,white
44.0,3.2,-1.1,white
36.0,3.9,-0.93,white
33.0,2.1,-0.12,white
36.0,4.0,-0.47,black
37.0,3.3,0.41,white
38.0,2.8,0.66,white
34.0,3.3,0.0,white
29.0,3.3,-1.13,white
38.0,3.4,-0.34,white
36.5,3.6,1.11,white
40.0,3.6,0.19,white
40.0,3.7,0.42,white
32.0,3.4,0.83,white
39.0,3.8,1.4,white
38.0,3.8,1.6,white
44.0,3.6,-0.55,white
40.0,3.0,1.97,white
48.0,3.6,0.77,white
33.0,2.7,-2.61,white
42.0,3.7,-0.24,white
39.0,2.8,1.32,white
35.0,3.1,-1.04,white
37.0,3.5,0.34,white
37.0,3.5,-0.13,white
34.0,3.3,-0.46,white
39.5,3.6,-0.69,white
48.0,3.4,2.72,white
30.0,2.8,-0.11,white
35.0,3.9,0.32,white
37.0,3.3,-0.4,white
35.0,3.1,-0.08,white
43.0,3.2,1.25,white
32.5,3.0,0.64,white
46.0,4.0,0.24,white
33.0,2.7,-0.33,white
44.0,3.8,1.23,white
25.0,2.0,-1.68,black
44.0,3.8,1.36,white
43.0,2.6,0.31,white
36.5,3.3,-0.52,white
37.0,2.9,0.48,white
42.0,2.8,1.23,white
37.0,3.1,0.14,white
29.0,3.4,0.09,white
35.0,3.1,0.33,white
28.0,2.7,-0.79,white
45.0,3.9,0.14,white
38.0,3.5,1.0,white
34.0,3.0,-0.14,white
31.0,3.2,-0.94,white
38.0,3.7,0.57,white
36.0,3.3,-0.26,white
35.0,3.2,1.33,white
40.0,3.3,0.57,white
35.0,3.5,0.76,white
35.0,3.8,0.65,white
44.0,3.7,-0.14,white
39.0,3.2,0.35,white
36.0,3.4,1.16,white
42.0,4.0,2.02,white
35.0,2.8,-1.34,white
40.0,3.4,-0.73,white
32.0,3.0,0.68,white
44.0,3.8,-0.99,white
42.0,4.0,0.51,white
39.0,2.5,1.88,white
43.0,3.2,0.45,white
31.0,3.2,-0.65,white
37.0,3.6,1.62,white
34.0,3.1,-0.91,white
37.0,2.4,0.43,white
35.0,3.4,1.12,white
33.0,3.9,1.49,white
41.0,3.3,2.39,white
42.0,3.4,2.05,white
27.0,3.4,-2.18,black
41.0,3.5,1.27,white
40.0,3.7,1.32,white
42.0,2.7,0.51,white
33.0,2.5,-0.32,white
43.0,3.2,0.18,white
45.0,3.3,0.12,white
35.0,3.2,0.04,white
37.0,3.6,0.31,white
33.0,3.5,0.58,white
37.0,3.0,-0.94,white
32.0,4.0,1.29,white
23.0,3.4,0.08,white
37.0,2.8,1.04,white
38.0,3.4,-0.73,white
44.0,3.9,-1.04,white
33.5,3.6,-0.55,white
40.0,2.9,0.79,white
33.0,2.7,0.32,white
30.0,3.7,-0.32,white
42.0,3.6,0.32,white
34.0,3.7,0.97,white
39.0,2.9,-0.87,black
43.0,3.1,0.7,white
41.0,3.3,1.51,white
40.0,3.2,-0.02,white
42.0,3.1,-0.4,white
30.0,3.6,-1.28,white
41.0,2.9,-1.03,white
37.0,3.1,-0.16,white
37.5,3.0,-0.58,white
44.0,3.1,0.05,white
41.0,2.5,0.62,white
37.0,3.7,2.17,white
33.0,2.5,-0.67,white
32.3,3.1,-0.4,white
34.0,3.2,2.05,white
41.0,3.4,0.46,white
35.0,3.7,0.71,white
46.0,3.8,-0.88,white
24.5,2.4,-1.78,black
39.0,3.1,0.38,white
43.0,2.5,-0.74,white
29.0,3.5,-0.96,black
35.0,3.1,0.13,white
35.0,3.0,0.28,white
38.0,3.0,-1.3,black
39.0,2.8,0.67,white
34.0,3.1,1.45,white
35.0,3.4,0.98,white
33.0,3.3,1.36,white
37.0,3.4,1.06,white
45.0,3.4,0.62,white
38.0,4.0,0.65,white
36.0,2.5,-1.65,white
35.0,3.6,1.25,white
31.5,3.1,-1.35,white
37.0,2.7,1.54,white
36.0,2.9,0.09,white
31.0,3.5,-0.36,white
34.0,2.6,-0.4,white
32.0,2.4,-1.17,black
38.0,3.6,0.71,white
39.0,3.3,0.18,white
39.0,3.0,0.62,white
30.0,3.0,-0.1,white
40.0,2.8,2.0,white
32.0,3.1,-0.99,white
35.5,3.8,1.27,white
36.0,3.1,-0.53,white
41.0,2.9,-0.3,white
38.0,3.5,1.48,white
33.0,2.7,1.16,white
31.5,3.0,-0.17,white
43.0,3.6,-0.43,white
30.0,3.6,0.19,white
33.0,2.3,-0.78,white
25.0,2.5,-1.13,black
33.0,3.3,-0.92,white
47.0,3.7,-0.08,white
38.0,3.7,-1.23,white
40.0,2.8,0.41,white
34.0,3.5,0.34,white
38.0,3.0,0.7,white
37.0,3.1,0.88,white
40.0,3.7,0.8,white
37.0,3.4,1.15,white
31.0,3.2,-0.96,white
35.0,2.3,-2.36,white
39.0,2.4,-0.51,white
33.0,3.1,-0.04,white
35.0,3.2,0.51,white
23.3,2.7,-1.56,black
34.5,3.2,0.82,white
34.0,3.7,0.62,white
40.0,3.1,0.02,white
27.0,2.6,-0.31,white
39.0,3.8,-0.46,white
42.0,3.0,0.33,white
36.0,3.3,-1.09,white
45.0,2.8,1.03,white
39.0,3.6,1.61,white
45.0,3.7,1.28,white
41.0,3.4,-0.02,white
40.0,3.6,1.81,white
32.0,3.1,-1.17,white
35.0,3.2,-0.48,white
30.0,3.4,-2.02,white
42.0,3.3,-0.43,white
42.0,3.3,1.23,white
43.0,3.9,-0.26,white
36.0,3.2,-0.18,white
31.0,3.3,-0.86,white
43.0,3.5,-0.37,white
36.0,2.8,-1.01,white
38.0,2.9,0.15,black
31.0,3.1,-0.57,white
22.0,2.6,-0.26,black
37.0,2.6,1.23,white
37.0,2.6,-0.16,white
41.0,2.8,1.51,white
36.0,3.7,0.04,white
41.0,2.9,-1.08,white
38.0,3.1,0.41,white
34.5,3.4,-0.69,white
31.0,3.0,-0.85,white
46.0,3.4,-0.56,white
38.0,3.5,0.55,white
42.5,3.7,1.02,white
32.0,3.4,0.13,white
29.0,3.6,-1.73,black
39.0,3.7,0.16,white
42.0,3.4,1.37,white
17.5,2.5,-0.6,black
36.0,3.0,0.36,white
34.0,3.2,-0.81,black
47.0,3.6,0.67,white
35.0,3.5,0.26,white
38.0,3.3,-0.36,white
40.0,3.0,-1.53,white
38.0,2.7,-0.56,white
43.0,3.4,-0.48,white
40.0,3.4,1.68,white
38.0,2.9,-0.6,white
37.0,3.1,-1.04,white
45.0,3.5,-0.96,white
33.0,2.7,-0.23,white
34.0,2.5,-0.46,white
40.0,3.3,2.15,white
38.0,3.5,-0.6,white
42.0,3.7,0.78,white
41.0,3.8,-0.91,white
41.0,3.0,-0.43,white
37.0,3.9,-1.38,white
35.5,3.6,0.89,white
32.5,3.7,0.5,white
32.5,3.6,-1.63,white
41.0,3.2,-0.75,white
37.0,3.5,1.34,white
36.0,3.5,-1.41,white
36.0,2.9,0.46,white
29.0,2.9,-1.94,black
42.0,3.2,-0.22,white
38.0,3.1,0.87,white
32.0,3.2,-0.84,white
42.0,3.3,1.46,white
41.0,3.2,0.18,white
40.0,3.3,0.8,white
40.0,3.4,-0.11,white
32.0,3.7,-0.51,white
41.0,3.7,0.22,white
36.0,3.3,1.39,white
33.0,3.5,0.69,white
45.0,3.8,-0.4,white
40.0,3.1,-1.18,white
41.0,3.2,-0.57,white
44.0,3.6,0.32,white
48.0,3.5,1.05,white
40.0,3.3,0.51,white
33.0,3.5,0.27,white
32.0,3.8,-0.19,white
33.5,3.2,1.28,white
40.0,3.9,1.28,white
45.0,3.9,0.71,white
39.0,3.3,0.9,white
39.0,3.4,1.13,black
36.0,2.9,-0.91,white
38.0,3.9,0.66,white
33.5,3.1,0.34,white
31.7,2.7,1.14,white
38.0,2.9,0.29,white
13.5,2.7,-1.57,black
33.5,3.5,0.74,white
29.7,3.4,1.72,white
28.0,3.3,0.25,white
38.0,3.7,-0.02,white
35.0,3.3,-0.26,white
34.0,3.5,0.12,white
38.0,2.8,-0.79,white
37.0,3.5,-0.05,white
44.0,3.7,0.82,white
38.0,4.0,1.7,white
41.0,3.1,-1.63,white
17.0,2.5,-2.59,black
33.5,3.2,-1.03,white
41.0,3.6,-0.11,white
40.0,3.5,0.23,white
40.0,2.3,0.48,black
37.0,3.8,-0.88,white
32.0,3.0,-0.55,black
34.0,3.0,0.58,white
40.0,3.1,-0.41,white
35.0,3.0,-0.03,white
48.0,3.4,0.21,white
37.0,2.0,-1.63,white
47.0,3.6,-1.06,white
45.0,3.1,0.07,white
29.0,2.7,-1.97,white
25.5,2.7,-0.09,white
33.0,3.2,1.55,white
30.0,3.6,-0.55,white
48.0,2.4,0.57,white
41.0,3.0,-2.03,white
31.7,2.3,-0.6,white
36.0,2.9,-1.94,white
31.0,3.0,-1.8,black
33.0,2.3,0.67,white
39.0,2.6,0.83,white
40.0,2.8,-0.59,white
36.0,3.0,-0.18,white
38.0,3.4,0.09,white
41.0,3.3,-0.26,white
44.0,3.1,-0.4,white
41.0,2.6,-0.3,white
42.0,3.5,0.13,white
45.0,3.6,-0.55,white
38.0,2.8,1.45,white
35.0,3.8,1.37,white
40.0,3.5,1.37,white
27.0,3.7,0.94,white
46.0,3.3,-0.12,white
38.0,3.6,2.26,white
27.0,3.2,-0.39,black
35.0,3.2,-0.1,white
29.0,3.2,-0.87,white
43.0,3.7,1.26,white
34.0,3.9,1.12,white
43.0,3.4,0.25,white
42.0,3.1,-0.12,white
42.0,3.4,1.88,white
36.0,3.9,-0.31,white
42.0,3.6,0.91,white
45.0,3.6,-0.4,white
31.0,3.1,-0.44,white
37.5,3.1,0.06,white
25.0,2.6,-2.59,black
27.5,2.9,-0.34,white
35.0,3.3,0.07,white
29.0,2.3,-2.24,black
28.5,3.1,-0.39,white
39.0,3.6,0.32,white
31.5,3.6,0.71,white
36.5,3.2,0.25,white
44.0,3.9,-0.61,white
39.0,3.4,-0.97,black
34.0,2.1,-1.32,black
32.5,3.5,0.45,white
31.0,4.0,0.08,white
42.0,3.4,0.7,white
21.0,2.3,-0.65,black
44.0,3.5,-0.18,white
39.0,3.2,-0.08,white
34.5,3.5,-0.15,white
34.5,2.8,1.09,white
29.0,3.1,-0.58,white
17.0,3.6,-0.26,black
27.0,3.1,-0.75,black
27.0,2.3,-2.83,black
31.0,3.6,-0.83,black
34.0,3.0,-0.33,white
45.0,3.0,1.19,white
35.0,3.3,-0.15,white
37.0,3.2,-0.23,white
35.0,3.1,-1.51,black
32.0,3.1,0.03,white
45.0,3.5,-0.02,white
42.0,3.6,1.82,white
42.0,3.0,0.78,white
38.0,3.2,0.56,white
37.0,3.5,0.0,white
36.0,3.1,-1.39,white
33.0,3.2,1.01,white
41.0,3.3,-0.76,white
42.0,2.5,-0.13,white
32.0,2.5,-0.56,white
33.0,3.5,-0.48,white
35.0,3.9,1.37,white
34.0,3.0,-0.41,white
40.0,2.9,-0.27,white
38.0,2.7,1.35,white
28.5,2.9,1.17,white
38.0,3.6,0.25,white
34.0,3.2,1.17,white
26.0,3.9,0.31,white
35.0,3.6,1.19,white
37.0,3.2,-0.64,white
35.0,2.9,-0.3,white
38.0,2.9,-0.79,white
31.0,3.6,-1.68,white
38.0,3.2,-0.18,white
32.0,2.9,-0.82,white
35.0,3.4,0.3,white
38.0,3.7,-0.81,white
43.0,2.9,0.54,white
35.0,3.0,0.4,white
31.0,2.2,0.18,black
38.0,3.5,-1.93,white
43.0,3.3,0.65,white
34.0,2.9,-0.03,white
40.0,2.9,0.4,white
39.0,2.4,-0.1,white
35.5,3.0,1.07,white
37.0,3.6,-0.14,white
28.0,2.5,0.16,black
41.0,3.3,0.64,white
46.0,3.4,0.18,white
42.0,3.1,-0.74,white
39.0,2.6,1.42,white
27.0,2.6,-2.14,black
40.0,3.7,-0.39,white
40.0,2.6,0.19,white
36.0,3.5,0.36,white
40.0,2.0,-0.15,white
39.0,2.5,1.7,white
26.0,2.6,1.28,white
34.5,2.6,-1.13,white
36.0,3.3,-0.17,white
47.0,3.9,-0.27,white
29.0,3.4,-1.19,white
43.0,3.1,-0.39,white
40.0,2.9,0.79,white
34.0,3.3,1.75,black
33.0,3.4,0.28,white
45.0,3.9,0.2,white
36.0,2.6,-1.39,white
31.0,2.7,-1.04,white
38.0,3.1,-1.36,white
40.0,3.3,1.62,white
43.5,3.8,0.7,white
37.5,3.0,1.54,white
41.0,3.4,-0.39,white
43.0,2.9,0.2,white
33.0,3.0,0.17,white
42.0,3.2,0.75,white
33.0,2.3,0.36,white
40.0,2.7,1.05,white
40.0,2.6,-0.03,white
44.0,2.8,-0.85,white
39.0,3.3,-0.22,white
23.5,2.6,-1.79,black
31.0,2.7,-1.99,white
40.0,2.6,-0.76,white
25.0,3.4,-0.58,white
34.0,3.7,0.33,white
35.0,3.0,1.73,white
33.0,2.6,1.28,white
37.0,3.1,1.37,white
33.7,3.2,-1.14,white
44.0,3.6,0.77,white
42.0,3.9,-1.03,white
36.0,3.2,-0.69,white
31.0,3.3,-0.24,white
39.0,2.9,2.01,white
27.0,2.7,-0.48,black
35.0,3.1,-1.24,white
35.0,2.9,1.74,white
39.0,3.9,0.73,white
39.0,3.0,-0.56,white
38.0,3.4,1.33,white
34.0,3.1,-0.17,white
30.0,2.7,-0.12,white
46.0,3.6,0.49,white
40.0,3.4,1.0,white
35.0,3.4,0.75,white
36.0,3.0,-0.87,white
41.0,3.4,1.93,white
34.0,3.3,0.02,white
39.0,2.5,-0.31,white
45.0,3.2,0.42,white
36.0,3.0,-0.03,white
31.0,3.5,-0.53,white
30.0,3.2,-0.92,white
37.0,3.0,1.17,white
40.0,2.8,0.26,white
37.0,3.6,0.77,white
34.0,2.9,1.25,white
35.0,3.6,1.01,white
37.0,3.7,0.7,white
37.0,3.9,0.36,white
34.0,3.5,0.85,white
33.0,3.2,-0.04,white
32.0,2.5,-2.93,black
44.0,3.7,0.33,white
38.0,3.2,-0.54,white
37.0,3.5,0.82,white
40.0,3.2,-0.6,white
30.0,2.9,-0.11,white
35.0,3.4,0.43,white
35.5,3.3,2.11,white
46.0,3.1,1.36,white
38.0,3.1,-1.21,white
33.0,3.6,0.89,white
32.0,2.6,0.78,black
35.0,3.7,0.85,white
44.0,2.7,-0.64,white
36.0,2.3,-0.21,white
39.0,2.8,0.56,white
38.0,2.4,1.28,white
30.0,2.5,-0.69,black
33.0,2.9,0.58,black
39.0,3.4,0.38,white
39.5,3.2,2.24,white
35.0,2.9,-0.53,white
44.0,3.3,1.55,white
48.0,3.6,0.84,white
40.0,3.2,-0.19,white
32.0,3.2,0.3,white
48.0,3.3,0.95,white
33.0,2.9,0.94,white
39.0,2.8,0.2,white
27.5,3.3,0.4,black
34.0,3.0,0.65,white
38.0,2.7,1.2,white
39.0,3.7,-0.77,white
41.0,3.5,0.58,white
33.0,3.6,-1.7,white
32.0,2.7,-1.77,black
29.0,3.5,0.36,white
46.0,3.9,1.31,white
33.0,3.5,0.84,white
33.0,2.9,-0.39,white
26.0,3.8,-3.68,black
28.0,3.3,-0.56,white
36.0,2.5,0.43,white
42.0,2.4,2.13,white
41.0,3.5,-0.52,white
44.0,3.5,-0.55,white
40.0,2.8,-0.48,white
39.0,2.8,-0.14,white
39.0,3.4,-1.07,white
29.0,3.0,-0.35,white
35.0,3.6,1.07,white
38.0,3.7,0.53,white
34.0,3.9,0.98,white
41.0,3.4,1.6,white
32.0,3.4,-1.33,white
35.0,3.6,-0.42,white
36.0,2.5,-0.11,white
36.0,3.2,0.36,white
39.0,3.4,-0.52,white
43.0,3.7,1.13,white
41.0,3.2,1.3,white
18.0,2.6,-1.37,black
47.0,3.3,0.24,white
43.5,3.1,0.68,white
41.0,3.4,1.25,white
39.0,3.2,1.31,white
43.0,3.5,0.46,white
31.5,2.7,0.58,white
38.0,3.1,-1.19,white
40.0,3.9,1.66,white
39.0,3.6,1.88,white
34.0,3.5,1.55,white
40.0,3.6,-0.76,white
30.5,3.0,-1.62,white
36.0,3.8,0.34,white
37.0,2.6,-0.68,white
36.0,3.0,-0.41,white
41.0,3.5,0.77,white
38.0,3.4,1.88,white
41.0,2.7,2.15,white
35.0,3.3,-0.61,white
37.0,2.3,-0.04,white
36.0,3.5,-0.91,black
42.0,2.9,-0.92,white
35.0,3.0,-1.24,white
39.5,3.2,1.37,white
33.0,2.8,-1.04,white
38.0,3.6,0.29,white
38.0,3.1,-0.34,white
32.0,3.2,0.19,white
32.0,3.8,-0.86,white
33.0,4.0,-0.4,white
36.0,2.8,-1.14,white
45.0,3.7,-0.75,white
36.0,2.9,-0.59,white
36.0,3.7,0.14,white
24.0,3.2,-1.17,black
45.0,3.7,1.71,white
43.0,3.5,0.58,white
31.5,3.0,-0.52,white
37.0,3.3,-0.11,white
38.0,2.4,-0.44,white
44.0,3.1,1.37,white
41.0,2.9,-0.64,white
26.0,2.5,0.71,black
47.0,3.0,-0.4,white
39.0,3.1,-0.38,white
40.0,3.6,0.21,white
37.0,2.6,-0.8,white
37.0,3.1,0.57,white
42.0,3.0,1.46,white
42.0,2.6,-2.01,white
34.0,3.4,2.05,white
46.0,4.0,1.12,white
40.0,3.4,1.65,white
33.0,3.7,0.3,white
28.0,2.5,-1.99,black
19.3,3.2,-1.65,black
35.5,2.9,0.0,white
35.0,3.2,-2.25,white
36.0,2.2,-0.8,white
42.0,3.4,0.42,white
42.0,3.0,-0.79,white
31.0,3.7,-0.49,white
41.0,3.7,0.13,white
33.5,3.7,0.43,white
39.0,3.5,0.19,white
37.0,3.6,-0.67,white
39.0,3.3,-0.64,white
45.0,3.6,1.37,white
43.0,3.6,1.23,white
40.0,3.5,1.39,white
21.0,2.1,-1.89,black
36.0,3.9,0.72,white
35.0,3.8,1.03,white
39.0,3.5,-1.22,white
32.0,2.7,0.74,white
40.0,3.9,0.78,white
42.0,3.5,-0.73,white
46.0,2.6,-0.93,white
40.0,3.6,-0.08,white
34.0,3.2,-0.62,white
32.5,3.6,-0.74,white
32.0,2.7,-0.58,white
45.0,3.4,1.68,white
43.0,3.6,0.08,white
29.0,2.4,-0.98,white
40.0,3.2,-0.29,white
35.0,3.2,-0.69,white
35.0,3.0,0.18,white
33.0,2.8,0.44,white
30.0,3.0,0.65,white
43.0,2.1,-0.89,white
34.0,3.8,0.26,white
44.0,3.0,0.71,white
37.0,3.6,1.1,white
40.0,3.7,1.48,white
32.0,3.3,-0.74,white
40.0,3.2,1.19,white
33.0,3.9,-0.13,white
29.0,3.3,-1.34,black
33.0,3.0,0.17,white
34.0,3.6,-0.16,white
42.0,3.8,-0.16,white
44.0,3.4,0.84,white
37.0,3.7,0.56,white
41.0,3.7,-0.29,white
36.0,2.8,0.26,white
34.0,3.5,0.82,white
42.0,3.3,0.28,white
30.5,3.0,1.31,white
41.0,4.0,0.15,white
37.0,2.1,-0.01,white
25.5,3.5,-0.48,white
36.0,3.4,0.37,white
43.0,3.7,0.61,white
38.0,3.2,0.01,white
30.0,3.8,0.49,white
39.0,3.3,1.27,white
25.0,2.9,-0.58,black
34.3,3.0,0.07,white
31.0,2.5,0.02,white
39.0,3.1,1.03,white
47.0,3.5,-1.93,white
36.0,3.0,0.47,white
48.0,3.5,1.02,white
32.0,3.4,-2.23,white
29.0,2.7,0.88,white
33.5,3.7,0.69,white
38.5,3.1,0.31,white
29.0,3.0,-1.59,black
37.0,3.5,0.23,white
45.0,3.7,0.86,white
34.0,3.2,-1.48,black
35.0,2.9,0.13,white
42.0,3.2,-0.52,white
40.0,3.6,1.9,white
41.0,3.0,-0.11,white
40.0,3.5,-0.14,white
32.0,2.9,0.64,white
34.0,3.0,-0.32,white
25.3,3.1,0.09,white
45.0,3.3,-0.46,white
42.0,3.8,1.49,white
