X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y,A
-1.1,3.0,66,-0.38,37.0,726.315771,2,0.0,4,0.0,0,0
0.0,3.8,68,1.5,42.0,885.2631359999998,4,1.0,6,0.0,0,1
-0.07,2.7,69,-0.39,39.0,727.894717,3,0.0,3,0.0,1,1
2.87,4.0,66,2.88,39.0,857.894717,3,0.0,5,0.0,1,1
0.53,3.0,68,0.14,38.0,742.1052440000002,3,0.0,3,0.0,1,1
1.33,4.0,59,1.68,32.0,747.3684059999998,3,1.0,4,0.0,1,1
-0.49,3.5,58,0.34,39.0,807.894717,4,1.0,3,0.0,1,1
0.0,3.1,67,0.0,41.0,799.473663,2,1.0,6,0.0,1,1
-1.46,2.5,64,-1.08,29.0,549.999987,3,1.0,5,0.0,1,0
0.76,3.5,68,1.02,48.0,949.999974,4,1.0,5,0.0,1,1
-1.08,2.5,68,-1.4,27.0,518.4210410000002,3,0.0,3,0.0,1,0
0.0,3.7,57,-1.48,27.0,638.4210410000002,0,1.0,4,1.0,0,0
-1.49,2.6,69,-1.04,31.0,591.578933,4,1.0,4,0.0,1,0
1.69,3.7,68,1.51,45.0,922.631555,3,0.0,4,0.0,1,1
-0.04,3.9,68,-0.45,36.0,800.526298,4,1.0,6,0.0,1,1
-0.93,2.5,67,-1.14,34.0,628.9473519999998,4,1.0,4,0.0,0,0
-0.98,3.8,67,0.27,35.0,774.736825,3,1.0,4,0.0,1,1
-0.28,3.1,68,-0.67,35.0,704.736825,3,1.0,5,0.0,1,0
-2.18,3.9,67,-1.5,36.0,800.526298,4,1.0,6,0.0,1,1
-1.13,3.3,67,-1.06,42.0,835.263136,3,1.0,4,0.0,1,1
1.52,3.7,66,1.66,30.0,685.78946,3,0.0,4,0.0,1,1
1.72,3.7,69,0.6,25.0,606.842095,3,0.0,5,0.0,1,1
-1.04,3.6,69,-0.37,31.5,699.4736695,3,0.0,5,0.0,1,1
-1.29,2.8,64,-0.93,28.0,564.210514,3,1.0,5,0.0,0,1
0.72,3.2,68,0.82,40.0,793.6841900000002,5,1.0,4,0.0,1,1
0.0,3.7,69,0.34,45.0,922.631555,3,1.0,6,0.0,1,1
-0.12,3.5,68,-0.64,40.0,823.6841900000002,4,0.0,3,0.0,1,1
0.53,3.7,69,0.44,41.0,859.4736630000001,3,0.0,4,0.0,1,1
0.45,3.5,69,0.96,34.0,728.9473519999998,3,0.0,3,0.0,1,1
0.0,3.8,69,0.33,36.0,790.526298,3,0.0,4,0.0,0,1
0.0,3.5,67,-1.57,32.0,697.3684059999998,4,1.0,4,0.0,0,1
0.22,3.4,69,0.45,39.0,797.894717,4,1.0,4,0.0,1,1
-0.27,3.0,67,-0.45,38.0,742.1052440000002,5,0.0,5,0.0,1,0
-0.19,3.2,66,-0.16,41.0,809.473663,5,1.0,6,0.0,1,1
0.08,3.3,64,0.55,31.0,661.578933,4,0.0,2,0.0,1,0
-0.28,3.6,68,-0.03,42.0,865.2631359999998,3,0.0,6,0.0,1,1
0.63,3.2,69,0.16,34.0,698.9473519999998,4,0.0,3,0.0,1,1
0.94,3.8,66,0.0,36.0,790.526298,3,0.0,4,1.0,1,1
0.0,3.5,69,0.0,37.0,776.315771,4,1.0,3,0.0,0,1
-0.23,3.0,69,-0.11,37.0,726.315771,3,1.0,3,0.0,1,1
-0.3,2.3,67,0.81,42.0,735.263136,3,1.0,3,0.0,1,1
0.23,3.3,69,0.45,36.0,740.526298,4,1.0,3,0.0,1,1
0.62,3.0,69,1.05,42.0,805.263136,3,1.0,3,0.0,1,1
1.41,3.5,55,1.34,40.0,823.6841900000002,2,1.0,3,1.0,1,1
0.0,2.1,65,-0.93,32.0,557.3684059999998,3,1.0,0,1.0,0,1
1.37,2.8,67,0.81,29.0,579.999987,2,0.0,1,0.0,1,0
-0.35,3.3,68,-0.39,36.0,740.526298,4,1.0,3,0.0,1,1
1.2,2.9,49,0.91,36.0,700.526298,4,1.0,3,0.0,1,1
-0.3,2.7,61,-0.33,37.0,696.315771,4,0.0,3,0.0,1,1
-0.01,3.1,65,0.31,35.0,704.736825,5,0.0,4,0.0,1,1
-0.83,3.4,65,-0.38,41.0,829.473663,3,0.0,4,0.0,0,1
0.0,3.6,54,0.0,32.0,707.3684059999998,5,0.0,3,1.0,0,1
-0.18,2.9,64,0.1,42.0,795.263136,4,1.0,3,0.0,1,1
-0.57,3.4,67,-0.91,33.5,711.0526155,4,0.0,6,0.0,1,1
-1.33,3.0,67,-1.02,32.0,647.3684059999998,3,0.0,4,0.0,1,0
-0.13,3.7,69,0.12,36.0,780.526298,4,0.0,2,0.0,1,1
-0.8,3.3,67,-0.95,34.5,716.8420884999998,4,0.0,6,0.0,1,1
-1.02,3.0,69,-1.26,32.0,647.3684059999998,4,0.0,2,0.0,1,1
1.26,3.3,68,0.91,35.0,724.736825,4,1.0,2,0.0,1,1
0.64,2.9,68,1.31,34.0,668.9473519999998,2,0.0,4,0.0,1,1
0.0,3.3,52,0.96,33.0,693.157879,3,1.0,2,0.0,0,1
-0.68,3.1,68,0.05,27.0,578.4210410000002,2,1.0,1,0.0,1,0
1.23,3.4,61,0.36,39.0,797.894717,3,1.0,5,1.0,1,1
-1.01,3.5,68,-0.44,40.0,823.6841900000002,4,1.0,5,0.0,1,1
0.0,2.9,66,-1.36,19.5,439.9999935,1,1.0,1,0.0,0,0
-1.14,3.9,69,-0.88,32.0,737.3684059999998,4,1.0,2,0.0,1,1
-0.19,3.0,61,-0.37,41.0,789.473663,2,1.0,4,1.0,0,1
-1.1,3.3,58,-0.64,42.0,835.263136,3,0.0,4,0.0,1,1
1.53,2.9,56,0.8,35.0,684.736825,3,1.0,5,1.0,1,1
-0.08,2.9,70,-0.36,34.0,668.9473519999998,2,0.0,1,0.0,1,0
-1.72,3.2,69,-0.98,38.0,762.1052440000002,4,0.0,4,0.0,1,1
0.78,3.3,57,0.29,39.0,787.894717,3,0.0,4,0.0,0,1
-0.93,3.4,63,-0.84,42.0,845.2631359999998,3,1.0,4,0.0,1,1
0.0,3.5,52,0.0,36.0,760.526298,3,0.0,4,1.0,0,1
0.0,3.0,69,-1.16,34.0,678.9473519999998,4,0.0,3,1.0,0,1
-0.46,3.6,69,-0.4,38.0,802.1052440000002,4,0.0,4,0.0,1,1
-0.59,3.2,68,-0.65,37.0,746.315771,3,0.0,4,0.0,1,1
0.0,3.6,68,-2.12,40.0,833.6841900000002,4,1.0,6,0.0,0,1
-0.92,3.5,68,-0.42,43.0,871.052609,3,1.0,5,0.0,0,1
0.33,3.8,67,0.02,41.0,869.4736630000001,3,1.0,6,0.0,1,1
0.64,3.1,68,1.04,32.0,657.3684059999998,3,0.0,3,0.0,1,1
-1.49,2.8,55,-1.13,29.0,579.999987,4,0.0,3,0.0,0,1
1.01,3.4,65,0.55,40.0,813.6841900000002,4,1.0,4,0.0,1,1
-0.27,2.7,67,0.61,37.0,696.315771,3,1.0,3,0.0,1,1
0.39,3.6,57,-0.23,0.0,0.0,1,0.0,3,1.0,1,1
-0.35,3.4,70,-0.31,44.0,876.842082,3,0.0,6,0.0,1,0
0.94,3.4,58,0.89,41.0,829.473663,4,1.0,2,0.0,1,1
0.35,3.8,62,0.35,42.0,885.2631359999998,4,0.0,6,0.0,1,1
0.73,3.2,65,0.43,41.5,817.3683995,3,0.0,5,0.0,1,1
-0.94,2.9,68,-1.13,41.0,779.473663,4,1.0,3,0.0,1,1
0.46,3.8,67,-0.41,40.0,853.6841900000002,3,1.0,5,0.0,1,1
-0.82,3.1,62,1.54,28.3,598.9473558999998,2,0.0,5,0.0,1,1
-1.55,3.1,56,-0.91,23.5,523.1578855,1,1.0,5,1.0,0,0
-1.06,2.8,68,0.2,38.0,722.1052440000002,5,1.0,3,0.0,1,1
-0.39,3.2,69,-0.18,40.0,793.6841900000002,4,0.0,4,0.0,1,1
-0.09,2.6,62,0.26,25.0,496.842095,3,1.0,4,0.0,1,1
-0.74,2.7,67,-0.02,25.0,506.842095,2,1.0,4,0.0,1,1
-0.04,3.5,69,0.48,28.0,634.210514,2,0.0,1,0.0,0,0
-1.19,3.5,67,-0.84,33.0,713.157879,4,0.0,2,0.0,0,1
0.0,3.6,68,0.0,44.0,896.842082,3,0.0,6,0.0,1,0
-0.01,3.5,69,0.09,36.0,760.526298,3,0.0,4,0.0,1,1
0.74,3.4,69,0.77,48.0,939.999974,3,0.0,3,0.0,1,1
0.0,2.7,65,0.57,33.0,633.157879,2,1.0,2,0.0,0,1
-0.64,3.0,54,-0.03,34.5,686.8420884999998,2,1.0,3,0.0,1,1
0.0,2.5,61,0.0,38.0,692.1052440000002,2,1.0,5,1.0,0,1
0.65,3.2,69,-0.02,41.0,809.473663,5,1.0,3,0.0,1,1
0.0,2.6,69,-1.83,25.5,504.73683150000005,4,0.0,5,0.0,0,0
-0.13,2.8,69,0.01,34.0,658.9473519999998,3,0.0,3,0.0,1,1
0.32,3.2,51,0.41,24.0,541.0526219999998,3,0.0,1,0.0,1,1
-1.78,2.8,69,0.0,41.0,769.473663,3,0.0,3,0.0,1,1
1.0,3.8,68,1.27,35.5,782.6315615,4,1.0,3,0.0,1,1
-0.05,2.0,64,0.3,33.0,563.157879,3,1.0,3,0.0,1,1
-0.38,3.5,69,-0.07,34.0,728.9473519999998,0,1.0,3,0.0,1,1
-0.5,2.3,67,-0.16,28.0,514.210514,3,0.0,3,0.0,1,0
0.34,3.5,69,0.3,31.0,681.578933,2,0.0,3,0.0,1,1
0.35,3.8,69,0.48,41.0,869.4736630000001,3,0.0,4,0.0,1,1
0.0,2.5,67,-2.43,33.5,621.0526155,2,0.0,4,0.0,0,0
-0.65,3.1,69,0.14,35.5,712.6315615,5,0.0,5,0.0,1,1
0.0,2.7,67,-0.11,33.0,633.157879,3,1.0,1,0.0,0,0
-0.33,3.7,66,-0.54,31.0,701.578933,2,0.0,2,0.0,1,1
0.0,2.8,59,-1.68,24.0,501.052622,3,0.0,1,0.0,0,0
2.27,3.7,66,2.06,31.0,701.578933,4,1.0,2,0.0,0,1
0.09,2.1,61,0.51,44.0,746.842082,4,0.0,3,0.0,1,1
0.44,3.6,69,0.45,36.0,770.526298,3,0.0,3,0.0,1,1
-0.05,3.1,69,-0.25,36.0,720.526298,5,1.0,4,0.0,1,1
-1.42,3.7,62,-1.26,44.0,906.842082,3,1.0,4,0.0,1,1
-1.85,2.7,67,-1.03,44.0,806.842082,2,1.0,5,0.0,1,1
-0.1,3.0,69,0.37,32.0,647.3684059999998,4,1.0,3,0.0,1,1
0.08,3.5,68,0.09,42.0,855.2631359999998,3,1.0,4,0.0,1,1
-0.82,2.8,69,-0.91,33.0,643.157879,3,1.0,2,0.0,1,1
1.07,3.1,68,-0.19,31.0,641.578933,4,1.0,1,0.0,1,0
-0.5,3.6,64,0.45,34.0,738.9473519999998,4,1.0,4,1.0,1,1
0.64,3.3,67,1.34,39.0,787.894717,4,1.0,4,0.0,1,1
-0.14,3.7,67,0.27,33.0,733.157879,3,0.0,4,0.0,1,1
-0.37,3.7,66,0.4,42.0,875.2631359999998,3,1.0,4,0.0,1,1
0.35,3.0,67,0.34,41.0,789.473663,4,1.0,3,0.0,1,1
0.4,3.6,69,0.0,33.0,723.157879,3,1.0,4,0.0,1,1
0.0,3.2,69,-1.36,26.0,572.631568,3,0.0,4,0.0,0,0
-1.86,3.3,56,-0.92,34.0,708.9473519999998,3,0.0,4,1.0,0,1
-0.36,2.5,56,-0.81,43.0,771.052609,4,1.0,3,1.0,1,1
0.82,3.3,69,0.69,36.0,740.526298,4,0.0,3,0.0,0,1
0.98,3.7,69,1.08,37.0,796.315771,3,1.0,3,0.0,1,1
1.14,2.7,67,1.49,40.0,743.6841900000002,3,1.0,3,0.0,1,1
0.0,3.4,62,0.0,35.0,734.736825,4,1.0,4,0.0,0,1
0.0,3.4,69,0.66,45.0,892.631555,5,1.0,6,0.0,1,1
0.94,3.0,64,0.76,35.0,694.736825,4,0.0,3,0.0,1,1
-0.53,3.2,69,-0.54,45.0,872.631555,0,1.0,3,0.0,1,1
1.6,3.6,65,1.39,38.0,802.1052440000002,2,0.0,3,0.0,1,1
0.0,3.0,64,0.0,41.0,789.473663,3,0.0,3,0.0,0,1
0.24,3.3,67,0.39,34.0,708.9473519999998,4,0.0,3,0.0,1,1
-0.8,3.6,66,-0.68,39.0,817.894717,3,1.0,3,0.0,0,1
0.62,3.8,68,0.26,42.0,885.2631359999998,4,1.0,4,0.0,1,1
0.0,3.5,69,-1.17,43.0,871.052609,4,0.0,4,0.0,0,1
1.08,2.5,67,0.44,47.0,834.210501,4,0.0,4,0.0,1,1
-1.78,3.1,66,-1.03,40.0,783.6841900000002,4,0.0,5,0.0,1,0
-0.07,2.8,52,0.02,34.0,658.9473519999998,4,0.0,4,0.0,1,1
-0.57,3.5,70,-0.2,34.0,728.9473519999998,4,0.0,3,0.0,1,1
0.89,3.0,67,0.7,38.0,742.1052440000002,4,1.0,3,0.0,1,1
-0.76,3.1,53,-0.52,33.0,673.157879,3,1.0,3,1.0,1,1
0.73,2.9,66,0.39,37.0,716.315771,4,1.0,3,0.0,1,1
0.3,3.6,66,0.19,37.0,786.315771,4,0.0,3,0.0,1,1
-0.44,3.2,68,-0.54,34.0,698.9473519999998,3,1.0,2,0.0,1,1
0.11,3.5,69,0.23,39.0,807.894717,4,1.0,5,0.0,1,0
0.64,3.7,69,0.8,40.0,843.6841900000002,4,1.0,4,0.0,1,1
2.0,3.9,70,2.18,42.0,895.2631359999998,4,0.0,5,0.0,1,1
-0.69,3.1,67,-0.58,26.0,562.631568,4,0.0,2,0.0,1,1
-1.27,3.0,67,-1.82,40.0,773.6841900000002,4,1.0,4,0.0,1,1
-0.6,3.5,69,-0.08,33.0,713.157879,4,0.0,5,0.0,1,1
-1.5,3.0,67,-2.51,34.0,678.9473519999998,4,1.0,2,0.0,1,1
0.0,3.0,70,0.52,42.0,805.263136,4,0.0,5,0.0,1,1
0.0,3.4,66,0.74,38.0,782.1052440000002,4,1.0,3,0.0,1,1
-0.27,2.4,68,-0.51,37.0,666.315771,4,1.0,2,1.0,1,1
-0.82,3.3,69,-1.59,42.0,835.263136,4,1.0,3,0.0,1,1
0.0,3.6,66,0.04,33.0,723.157879,4,1.0,3,0.0,0,1
-1.09,3.2,68,-0.84,48.0,919.999974,3,1.0,6,0.0,1,0
-0.75,2.5,66,-0.4,25.5,494.73683150000005,4,1.0,1,0.0,1,1
-0.37,3.9,69,-0.16,40.0,863.6841900000002,3,0.0,4,0.0,1,1
1.57,4.0,62,0.66,40.0,873.6841900000002,4,0.0,4,0.0,1,1
0.37,3.4,65,0.85,35.5,742.6315615,4,1.0,3,0.0,1,1
1.24,3.8,67,1.58,33.0,743.157879,2,1.0,3,0.0,1,1
0.0,3.5,69,0.0,41.0,839.4736630000001,4,1.0,3,0.0,0,1
-1.45,2.2,66,-0.31,28.0,504.210514,3,1.0,0,1.0,1,0
-0.01,3.7,69,0.33,34.0,748.9473519999998,4,0.0,4,0.0,1,1
0.41,3.4,69,1.01,33.0,703.157879,4,0.0,3,0.0,1,1
0.0,3.1,67,0.0,37.7,747.3684021,4,0.0,6,0.0,1,1
-0.03,3.5,61,-0.15,44.0,886.842082,3,0.0,4,0.0,1,1
-0.73,2.4,66,-1.1,37.0,666.315771,3,0.0,3,0.0,1,1
0.4,3.3,67,0.61,38.0,772.1052440000002,4,0.0,3,0.0,1,1
0.4,3.4,69,0.12,41.0,829.473663,4,0.0,4,0.0,1,1
0.59,3.7,69,0.45,35.0,764.736825,4,1.0,4,0.0,1,1
0.77,3.6,67,0.26,41.0,849.4736630000001,4,1.0,4,0.0,1,1
0.65,3.8,69,0.55,40.0,853.6841900000002,4,0.0,6,0.0,1,1
1.56,2.7,66,1.49,40.0,743.6841900000002,3,1.0,3,1.0,1,1
1.22,3.6,64,1.21,37.0,786.315771,3,1.0,4,0.0,1,1
-0.39,2.6,66,0.39,36.0,670.526298,4,1.0,3,0.0,1,1
1.72,3.3,65,1.57,44.0,866.842082,5,1.0,4,0.0,1,1
1.52,3.3,65,0.82,37.0,756.315771,3,1.0,5,0.0,1,1
0.0,3.0,63,-1.17,30.0,615.78946,1,0.0,4,0.0,0,0
2.04,3.4,55,1.02,37.0,766.315771,4,0.0,3,1.0,1,1
-1.75,2.5,63,-0.79,32.3,602.1052478999999,4,0.0,3,0.0,1,1
0.0,2.8,67,-1.73,36.0,690.526298,4,0.0,5,0.0,0,1
-1.42,3.3,63,-1.59,29.0,629.999987,2,1.0,4,0.0,1,0
0.03,2.7,65,-0.12,40.0,743.6841900000002,4,0.0,4,0.0,1,1
0.01,3.2,68,-0.21,33.0,683.157879,4,1.0,3,0.0,1,1
0.51,3.8,67,0.4,40.0,853.6841900000002,3,1.0,3,0.0,1,1
0.1,2.7,64,-0.24,33.0,633.157879,4,0.0,3,0.0,1,1
-0.94,3.6,67,-1.07,43.0,881.052609,2,1.0,6,0.0,1,0
0.0,3.7,68,0.0,39.0,827.894717,4,1.0,6,0.0,0,1
-0.85,2.6,68,1.28,26.0,512.631568,4,1.0,4,1.0,0,1
0.0,2.9,68,0.17,42.0,795.263136,4,1.0,3,0.0,1,1
-0.15,3.3,63,-0.37,32.0,677.3684059999998,4,0.0,3,0.0,1,1
0.32,3.7,69,0.15,35.5,772.6315615,4,0.0,5,0.0,1,1
-0.78,3.4,54,1.34,32.0,687.3684059999998,3,0.0,3,1.0,1,1
-1.09,2.9,65,-0.86,46.0,858.421028,4,1.0,3,0.0,1,1
0.57,3.0,67,0.14,40.0,773.6841900000002,3,1.0,4,0.0,1,1
1.42,3.4,68,1.34,35.0,734.736825,4,0.0,4,0.0,1,1
-0.36,2.2,66,2.72,46.0,788.421028,4,1.0,6,0.0,1,1
0.3,3.0,66,0.96,38.0,742.1052440000002,3,1.0,4,0.0,1,1
0.0,2.8,64,0.0,26.0,532.631568,2,1.0,2,1.0,0,0
0.39,3.9,49,-0.25,36.0,800.526298,3,1.0,5,0.0,1,1
0.55,3.1,69,0.34,33.5,681.0526155,4,0.0,2,0.0,1,1
0.0,2.8,68,-2.23,31.5,619.4736695,4,1.0,3,0.0,0,0
0.0,3.5,61,0.0,39.0,807.894717,3,0.0,3,0.0,1,1
-0.01,3.5,69,-0.56,32.0,697.3684059999998,3,0.0,3,0.0,1,1
-1.3,3.6,68,-0.67,31.5,699.4736695,4,1.0,3,0.0,1,1
-0.96,3.2,66,-0.96,39.0,777.894717,3,0.0,3,0.0,0,1
0.7,3.4,69,0.55,42.0,845.2631359999998,2,1.0,5,0.0,1,1
0.45,3.2,69,0.19,41.0,809.473663,4,0.0,4,0.0,1,1
-1.04,3.8,69,-0.25,46.0,948.421028,3,0.0,5,0.0,1,1
0.18,3.6,69,0.22,38.0,802.1052440000002,4,0.0,4,0.0,1,1
0.0,2.8,69,0.0,42.0,785.263136,3,1.0,5,0.0,1,0
1.09,3.2,63,0.82,42.0,825.263136,4,0.0,3,0.0,1,1
0.0,2.5,66,-1.32,31.0,581.578933,2,0.0,0,1.0,0,1
-0.7,3.2,67,-1.06,35.5,722.6315615,4,1.0,4,1.0,1,1
0.0,3.0,62,0.0,29.0,599.999987,3,1.0,1,0.0,1,1
-1.76,3.8,67,-1.51,33.5,751.0526155,4,0.0,5,0.0,0,1
0.44,3.3,65,1.19,34.0,708.9473519999998,3,1.0,3,1.0,1,1
-1.36,2.7,67,-0.5,32.0,617.3684059999998,2,0.0,3,0.0,1,0
0.67,3.1,69,-0.37,32.0,657.3684059999998,4,1.0,3,0.0,1,1
-0.58,3.3,69,-1.13,42.0,835.263136,4,0.0,3,0.0,1,1
0.76,4.0,67,0.63,41.0,889.4736630000001,2,0.0,6,0.0,1,1
-0.63,2.9,69,-0.12,36.0,700.526298,4,1.0,3,0.0,1,1
1.7,3.1,68,1.19,33.0,673.157879,3,1.0,3,0.0,1,1
0.48,2.8,67,1.0,23.0,485.263149,3,1.0,1,0.0,1,0
0.19,3.2,69,0.69,38.0,762.1052440000002,4,1.0,3,0.0,0,1
0.0,3.1,69,-0.35,38.0,752.1052440000002,4,1.0,4,0.0,0,1
-0.77,3.1,69,-0.44,23.0,515.263149,5,1.0,3,0.0,1,0
1.84,3.3,69,2.15,40.0,803.6841900000002,3,1.0,3,0.0,1,1
-1.32,3.0,69,-0.94,36.0,710.526298,3,1.0,3,0.0,1,1
0.0,3.7,68,0.0,48.0,969.999974,4,0.0,6,0.0,1,1
0.97,3.3,68,1.04,37.0,756.315771,3,0.0,3,0.0,1,1
-1.43,2.9,67,-0.86,30.0,605.78946,4,1.0,6,0.0,1,1
-1.72,2.6,60,-1.23,27.0,528.4210410000002,1,0.0,4,1.0,0,0
-1.77,2.6,68,-1.42,23.0,465.263149,3,0.0,4,0.0,1,0
0.94,2.7,64,0.35,38.0,712.1052440000002,3,1.0,5,0.0,1,1
2.14,3.1,68,2.23,45.0,862.631555,4,0.0,2,0.0,1,1
-1.36,2.6,67,-0.44,40.0,733.6841900000002,4,0.0,3,0.0,1,1
-0.4,3.6,69,-0.45,40.0,833.6841900000002,4,1.0,4,0.0,1,1
0.3,3.6,69,0.4,40.0,833.6841900000002,3,1.0,4,0.0,1,1
1.94,2.6,67,1.75,38.0,702.1052440000002,4,1.0,3,1.0,1,1
-0.51,3.6,67,-0.69,39.5,825.7894535,4,0.0,6,0.0,1,1
0.0,3.8,69,1.54,40.0,853.6841900000002,4,1.0,6,0.0,1,1
-0.17,3.2,68,-0.83,33.5,691.0526155,3,0.0,5,0.0,1,1
0.02,3.2,69,0.08,42.0,825.263136,4,1.0,3,0.0,1,1
0.74,3.2,69,0.54,30.0,635.78946,4,1.0,3,0.0,1,1
1.07,3.2,68,1.21,35.0,714.736825,2,1.0,2,0.0,1,1
1.05,3.4,66,0.86,42.0,845.2631359999998,3,1.0,4,0.0,1,1
1.22,4.0,68,1.5,42.0,905.263136,3,1.0,4,0.0,1,1
0.81,3.8,57,0.91,0.0,0.0,2,0.0,2,0.0,1,1
0.96,2.9,68,1.06,41.0,779.473663,3,0.0,5,0.0,1,1
1.24,3.9,64,0.61,41.0,879.4736630000001,4,1.0,6,0.0,1,1
-0.97,3.4,69,-0.89,39.0,797.894717,4,1.0,4,0.0,1,1
0.78,3.3,62,0.86,40.0,803.6841900000002,3,0.0,4,0.0,1,1
-1.51,3.5,69,-1.32,30.0,665.78946,3,0.0,3,0.0,1,1
0.0,0.0,68,-1.73,47.0,0.0,4,1.0,5,0.0,0,1
0.27,3.4,69,-0.06,37.0,766.315771,4,0.0,6,0.0,1,1
1.91,3.9,69,1.77,36.0,800.526298,2,1.0,5,0.0,1,0
-0.05,3.3,61,-0.43,0.0,0.0,3,0.0,4,0.0,1,0
0.0,3.3,69,0.0,26.0,582.631568,3,0.0,3,0.0,0,0
0.0,3.7,69,0.0,47.0,954.210501,5,1.0,6,0.0,1,1
-0.06,3.5,66,-0.12,36.0,760.526298,3,0.0,4,0.0,1,1
-0.65,2.9,67,-0.47,33.0,653.157879,3,1.0,3,0.0,1,1
0.46,3.5,68,0.55,38.0,792.1052440000002,3,0.0,3,0.0,1,1
-2.03,3.1,69,-1.99,31.0,641.578933,1,1.0,6,0.0,1,0
1.01,3.6,66,0.69,46.0,928.421028,1,1.0,5,0.0,1,1
0.0,3.3,69,0.0,38.0,772.1052440000002,4,1.0,3,0.0,0,1
0.0,3.8,61,0.0,37.0,806.315771,4,0.0,4,0.0,0,1
-0.14,2.9,66,0.2,37.0,716.315771,4,1.0,4,0.0,1,1
0.0,3.6,67,-0.93,36.0,770.526298,4,1.0,3,1.0,0,1
-0.78,2.5,61,-0.75,29.0,549.999987,4,0.0,3,0.0,0,1
-1.49,3.4,69,-1.53,40.0,813.6841900000002,2,1.0,6,0.0,1,0
0.98,3.5,68,1.26,35.0,744.736825,4,1.0,3,0.0,1,1
0.62,2.9,63,0.92,37.0,716.315771,5,0.0,3,0.0,1,1
0.0,3.4,68,-1.12,42.0,845.2631359999998,2,1.0,6,0.0,1,0
1.5,3.8,68,1.36,44.0,916.842082,3,0.0,5,0.0,1,1
